Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
200	-195.6368	-156.8857	-38.75114	1.34002	0.951312	2.11739	0.682128	0.129264	0.23917	0.466215	0.542336	0.726392	1.78705	2.44687	0.8105481	0.292686	-0.049913	0.750184	-0.382538	-2.04589	-1.43058	-0.763109	-0.611869	-0.319666	0.580564	0.894812	-2.51816	-2.73601	0.786469	0.196102	0.241736	-1.54628	-1.57718	0.245225	-0.537512	-0.394203	1.08871	0.0806081	0.0648286	2.19563	1.21665	1.27346	0.213039	0.206557	1.27791	0.5842	0.674217	2.97044	1.590635
210	-197.9565	-155.6325	-42.32398	1.38409	0.772602	2.23309	0.663787	0.181982	0.183757	0.505104	0.409817	1.19092	1.41089	2.47637	0.6050883	0.325041	-0.257991	0.803385	-0.409794	-1.70385	-1.69414	-0.682991	-0.892043	0.174723	0.344223	0.906795	-3.6017	-2.03089	0.738556	0.181798	0.295194	-2.21935	-1.98696	0.288742	0.151604	-1.46434	1.06571	0.0272772	0.131219	2.09291	1.19937	1.34339	0.10868	0.137112	1.33475	1.1637	0.23123	2.90291	1.432542
220	-196.1593	-153.2581	-42.90121	1.38979	0.815466	2.06737	0.723657	0.120468	0.203415	0.580665	0.470177	1.22057	2.03633	2.33096	0.8998902	0.329155	-0.203995	0.726276	-0.323438	-2.11637	-1.59251	-0.543582	-0.754647	0.199317	0.711148	0.846281	-5.86715	-2.27238	0.760306	0.233076	0.161048	-1.34712	-1.73248	0.230036	0.144841	-0.794713	1.09034	0.00283092	0.103067	2.13893	1.26248	1.17474	0.259987	0.176845	1.25864	1.15586	0.451711	2.97527	2.27702
230	-191.6906	-152.9884	-38.7022	1.34849	0.855035	1.95693	0.639122	0.171301	0.297694	0.485789	0.596028	1.31805	2.55626	2.12366	1.017384	0.298982	-0.156612	0.671374	-0.44766	-1.76434	-1.21169	-0.721981	-0.517468	0.27615	0.938544	0.753141	-3.85928	-2.53724	0.731513	0.223967	0.116418	-1.60811	-1.02273	0.199521	0.30382	-0.545961	1.05703	0.0210832	0.079084	2.07822	1.25103	1.12346	0.200265	0.359611	1.22082	1.35503	0.579285	2.8778	1.141505
240	-196.454	-152.3496	-44.10439	1.23672	0.820221	2.02809	0.611323	0.45079	0.371023	0.597465	0.436312	1.51296	2.65552	2.00135	0.6153881	0.212461	-0.198181	0.707092	-0.49213	-0.796754	-0.991491	-0.515059	-0.829398	0.414065	0.976641	0.693821	-5.78596	-2.42764	0.791078	0.191063	0.254297	-2.1885	-1.00565	0.298277	0.395959	-1.21204	1.09959	0.00307036	0.0882444	2.20577	1.21054	1.28955	0.112085	0.365807	1.34754	1.48581	0.297589	3.00293	3.494209
250	-196.197	-154.1556	-42.04145	1.15568	0.867703	2.2683	0.542652	0.371495	0.367743	0.341668	0.31256	1.46883	2.35024	2.16918	0.6985366	0.144691	-0.141906	0.819033	-0.611287	-0.990219	-1.00037	-1.07392	-1.16296	0.384468	0.854517	0.774347	-3.40615	-3.82277	0.850083	0.113639	0.346902	-1.75415	-1.3526	-0.0627345	0.27903	-1.18952	1.14465	0.0331685	0.0218672	2.33984	1.12035	1.41468	0.173055	0.258567	0.939193	1.32185	0.304367	3.14133	1.320476
260	-193.3171	-152.7394	-40.5777	1.11204	0.949148	2.29483	0.69718	0.25452	0.428775	0.600254	0.279408	1.13398	3.25786	2.54952	0.7519039	0.106194	-0.0521907	0.83066	-0.360712	-1.36838	-0.846822	-0.510402	-1.27508	0.125731	1.18107	0.935906	-3.96659	-3.16298	0.950373	0.0991583	0.24711	-2.05587	-0.776854	0.104689	0.0628716	-0.0716634	1.266	0.0189379	0.0422995	2.58668	1.10424	1.28032	0.127982	0.45985	1.11037	1.06489	0.930844	3.54664	1.431664
270	-193.775	-156.5364	-37.23859	1.15261	0.797419	2.7022	0.44482	0.426284	0.462076	0.695561	0.38531	0.618039	2.85465	2.79908	1.00408	0.142033	-0.226375	0.994068	-0.810086	-0.852649	-0.772027	-0.363037	-0.953708	-0.481204	1.04895	1.02929	-3.01098	-1.46658	0.975674	0.175475	0.0708559	-1.29942	-0.704986	0.0834314	-0.17736	0.474136	1.17539	0.0492432	0.230713	2.65296	1.19181	1.07343	0.27269	0.494116	1.08701	0.837478	1.60662	3.23942	1.349356
280	-197.1662	-155.6612	-41.50506	1.08556	0.263903	2.80682	0.674057	0.410862	0.514877	0.574739	0.208163	0.441866	3.16017	2.77458	1.002445	0.0820948	-1.33217	1.03205	-0.39444	-0.889499	-0.663827	-0.553838	-1.56943	-0.816749	1.15062	1.0205	-3.13042	-1.53187	0.969403	0.167739	-0.189102	-1.20534	-1.03071	0.0259675	-0.846891	0.425795	1.22483	0.0436996	0.21613	2.63637	1.18263	0.827702	0.29959	0.356752	1.02631	0.428746	1.53081	3.4036	0.9885376
290	-206.7323	-159.3633	-47.36901	1.0508	0.319488	2.85344	0.841669	0.266064	0.594511	0.490404	0.067985	0.403856	3.60971	2.74777	2.223379	0.0495514	-1.14103	1.04853	-0.172368	-1.32402	-0.520016	-0.712525	-2.68847	-0.906697	1.28363	1.01079	-3.43025	-1.75266	1.03287	0.196415	-0.355038	-1.18824	-0.471414	-0.277207	-1.94229	0.34816	1.29406	0.0323788	0.173311	2.8091	1.21703	0.701147	0.304757	0.624119	0.757897	0.143375	1.41646	3.64758	1.624118
300	-201.0898	-157.1334	-43.95642	1.00476	0.529904	2.76126	0.788721	0.167146	0.684443	0.620019	0.0912864	0.309225	3.466	2.60192	1.332902	0.00475118	-0.63506	1.01569	-0.237343	-1.78888	-0.37915	-0.478005	-2.39375	-1.17369	1.243	0.95625	-3.80053	-1.47325	1.05356	0.186224	-0.629369	-1.06452	-0.397082	-0.211071	-0.70303	-0.262666	1.319	0.0223589	0.22918	2.86786	1.20469	0.532928	0.344892	0.672279	0.809716	0.495083	0.768999	3.73968	0.9577345
310	-199.5426	-157.6585	-41.88412	1.0885	0.57966	2.70974	0.845984	0.127822	0.534774	0.617076	0.146398	0.606464	3.24433	2.64709	0.9652201	0.0848051	-0.545313	0.996852	-0.167254	-2.05712	-0.62591	-0.482762	-1.92142	-0.500111	1.17691	0.973462	-2.5405	-1.6008	1.07796	0.19666	-0.598045	-1.20504	-0.349052	-0.280418	0.036975	-0.449484	1.28548	0.0788272	0.201735	2.93869	1.21733	0.549886	0.29968	0.705356	0.755468	1.03767	0.637957	3.61641	1.010127
320	-197.7355	-153.4011	-44.33449	1.13998	0.763416	2.8832	0.915935	0.26555	0.350807	0.535471	0.0814841	0.967148	3.33856	2.69236	1.628945	0.131009	-0.269953	1.0589	-0.0878103	-1.32595	-1.04752	-0.624609	-2.50735	-0.0334037	1.20554	0.990419	-2.87662	-1.01645	1.16963	0.268801	-0.530097	-1.87237	-0.452104	-0.425676	-0.133503	-1.27336	1.38174	0.0563249	0.361876	3.2208	1.30839	0.588548	0.153759	0.636288	0.653328	0.875025	0.27989	3.98184	1.324521
330	-198.1069	-153.8898	-44.21707	1.05199	0.621097	2.84445	0.908551	0.243749	0.437646	0.204143	0.149083	1.46973	3.27014	2.56724	1.111128	0.0506821	-0.476269	1.04537	-0.0959047	-1.41162	-0.826346	-1.58894	-1.90325	0.385078	1.18483	0.94283	-4.97196	-1.18905	1.16466	0.262334	-0.91056	-2.12705	-0.904734	-0.248915	0.0193383	-0.260211	1.30678	0.00692959	0.304511	3.20485	1.29996	0.402299	0.119189	0.404649	0.779646	1.01953	0.770889	3.69427	2.057541
340	-196.3604	-157.1095	-39.2509	1.23857	0.646374	3.03968	1.03755	0.183895	0.41783	0.374684	0.376537	1.40106	3.2506	2.51132	1.084511	0.213954	-0.436377	1.11175	0.0368635	-1.69339	-0.872681	-0.981671	-0.976738	0.337228	1.17884	0.920809	-2.72464	-0.914557	1.24571	0.360164	-0.762219	-1.16028	-0.922294	-0.237527	0.300721	-0.17472	1.23356	0.0655699	0.400694	3.47542	1.43356	0.46663	0.313398	0.397606	0.788576	1.35083	0.839692	3.43342	1.548496
350	-199.3848	-154.1116	-45.27321	1.34305	0.649433	3.0469	1.02106	0.0849579	0.449059	0.314187	0.175199	0.989141	3.0912	2.37353	1.547218	0.294944	-0.431655	1.11412	0.0208381	-2.4656	-0.800602	-1.15777	-1.74183	-0.0109181	1.12856	0.864377	-4.9659	-0.818119	1.18506	0.305596	-0.486749	-1.26104	-0.800761	-0.262023	0.0494272	-0.150275	1.16961	0.00697166	0.441261	3.27087	1.35743	0.614622	0.283358	0.448987	0.769493	1.05067	0.860471	3.22073	1.451786
360	-195.8563	-154.7709	-41.08535	1.40799	0.644231	3.00739	1.05027	0.118754	0.479979	0.284967	0.206899	1.00878	3.31374	2.36427	1.564747	0.34216	-0.439699	1.10107	0.0490464	-2.1307	-0.734014	-1.25538	-1.57552	0.00873979	1.19808	0.86047	-2.47225	-0.861048	1.2084	0.369449	-0.50375	-1.29782	-1.27036	-0.316948	-0.0234784	-0.0439175	1.20652	0.0843951	0.422719	3.34812	1.44694	0.604261	0.273127	0.280731	0.728369	0.976795	0.957033	3.34185	1.363851
370	-201.9236	-156.3977	-45.52588	1.4157	0.524697	3.09073	1.05978	0.0364313	0.309663	0.103393	0.06835	1.36316	3.14452	2.15517	1.707653	0.347624	-0.644934	1.12841	0.0580627	-3.31233	-1.17227	-2.26922	-2.68311	0.309808	1.14566	0.767867	-2.51669	-1.31528	1.15429	0.291393	-0.326271	-1.37622	-2.22618	-0.242117	-0.126185	0.0747723	1.12653	0.0807267	0.2684	3.17177	1.33829	0.72161	0.25253	0.10794	0.784964	0.881451	1.07764	3.08493	1.304581
380	-203.6394	-155.041	-48.59838	1.47055	0.429475	2.92931	1.10228	0.0232179	0.266076	0.104155	0.0868731	1.94295	2.4446	2.23245	2.190845	0.38564	-0.845192	1.07477	0.0973775	-3.76283	-1.32397	-2.26188	-2.44331	0.664206	0.89388	0.803101	-3.10939	-1.32325	1.1243	0.288593	-0.168676	-2.58389	-2.34571	-0.345151	0.22633	0.0914679	1.10481	0.044628	0.266268	3.07808	1.33455	0.844783	0.07548	0.095779	0.708113	1.25399	1.09578	3.01865	1.273634
390	-204.9514	-153.5222	-51.42911	1.50437	0.416131	2.89637	0.985926	0.0245381	0.222345	0.145438	0.0361428	2.05864	1.99779	1.93795	2.138589	0.408374	-0.876754	1.06346	-0.0141737	-3.70753	-1.50353	-1.928	-3.32028	0.722047	0.69204	0.661633	-4.76453	-1.42093	1.09668	0.240202	-0.0588223	-1.87891	-2.68663	-0.372796	0.397928	-0.611263	0.979873	0.00852688	0.241489	2.9942	1.27151	0.942874	0.152756	0.0681098	0.688806	1.48874	0.542665	2.66412	1.543187
400	-202.9311	-153.9378	-48.9933	1.56822	0.498566	2.78432	0.935927	0.15403	0.201026	0.106069	0.125641	2.07725	2.15912	1.86344	1.210113	0.449943	-0.696019	1.02401	-0.0662182	-1.87061	-1.60432	-2.24366	-2.07433	0.731043	0.769699	0.622424	-4.3316	-3.32936	1.14895	0.200359	0.127354	-1.5131	-2.84887	-0.537501	0.463815	-2.50998	1.03127	0.0131466	0.0358159	3.15486	1.22184	1.13582	0.220226	0.0579096	0.584206	1.59013	0.0812702	2.80462	2.130251
410	-207.9407	-153.8983	-54.04233	1.5592	0.563658	2.63741	1.06913	0.0254958	0.218962	0.0856118	0.174737	2.38548	2.2917	1.73858	2.032228	0.444175	-0.573308	0.969797	0.0668479	-3.66924	-1.51886	-2.45793	-1.74447	0.869401	0.829292	0.55307	-6.64437	-4.00726	1.16813	0.217435	0.109953	-2.12869	-2.73991	-0.492121	0.568425	-2.2179	1.05019	0.00130132	0.0181832	3.21596	1.24288	1.11623	0.118993	0.0645758	0.611329	1.76548	0.108837	2.85819	2.42567
420	-212.2893	-160.4877	-51.80164	1.67595	0.388067	2.88037	1.11101	0.0568528	0.100007	0.114757	0.152402	3.13453	2.35517	1.83908	1.192671	0.516383	-0.946577	1.05792	0.105265	-2.86729	-2.30252	-2.16494	-1.88124	1.14248	0.856611	0.609266	-5.74997	-1.90765	1.1026	0.247115	0.124765	-3.74253	-1.93903	-0.26824	0.579096	0.00972402	1.06183	0.00318289	0.148429	3.012	1.28033	1.13288	0.0236942	0.143843	0.764724	1.78443	1.00977	2.89166	2.497736
430	-206.4619	-156.2245	-50.2374	1.65344	0.40516	2.87328	1.01865	0.0622881	0.0928694	0.182903	0.155734	3.12685	2.56408	1.97167	1.413942	0.502856	-0.903474	1.05545	0.0184754	-2.77599	-2.37656	-1.6988	-1.85961	1.14003	0.941599	0.67888	-3.01115	-1.81834	1.10543	0.259435	0.175263	-2.32427	-3.65661	-0.44673	0.766083	0.314515	1.04681	0.0492353	0.162295	3.02051	1.2962	1.19156	0.0978544	0.0258198	0.639717	2.15132	1.36959	2.84856	2.731979
440	-209.1665	-155.297	-53.8695	1.44735	0.389635	3.1606	1.12994	0.0939762	0.0325849	0.258965	0.126295	3.08719	2.64352	2.20712	1.352817	0.369735	-0.942545	1.15076	0.122164	-2.36471	-3.42391	-1.35106	-2.06913	1.12726	0.972112	0.791687	-5.88927	-2.05715	1.13087	0.292722	0.262363	-2.15325	-4.05406	-0.275516	0.943048	0.101073	1.08402	0.00276899	0.127818	3.09836	1.34007	1.3	0.116106	0.0173518	0.75918	2.5678	1.10636	2.95654	3.062409
