Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
560	-200.7044	-154.7392	-45.96521	0.962114	0.67602	3.15998	1.13626	0.223122	0.342911	0.178584	0.301157	1.94983	1.25655	2.07071
570	-199.3259	-154.8971	-44.42874	0.629644	0.55112	3.04582	1.00899	0.34995	0.159658	0.200619	0.366476	2.30312	1.50233	1.89317
580	-200.6721	-157.6002	-43.07196	0.671919	0.604262	2.97808	0.844321	0.395344	0.222135	0.143188	0.375548	1.32675	1.781	1.87076
590	-200.5551	-155.0362	-45.51891	0.705372	0.544923	2.83588	0.784747	0.209854	0.394706	0.122861	0.236322	1.59352	1.60618	1.79865
600	-198.7525	-153.8938	-44.85869	0.679411	0.577248	2.76868	0.774249	0.128378	0.378148	0.234184	0.24668	1.46777	1.8895	1.27755
610	-197.3858	-153.7909	-43.59499	0.631276	0.524856	2.5052	0.815736	0.195609	0.399048	0.2278	0.382297	1.59289	1.91431	1.24825
620	-197.5615	-153.567	-43.99452	0.755922	0.598908	2.33153	0.843774	0.247138	0.293364	0.11776	0.164213	1.6133	1.36781	1.1856
630	-199.787	-154.1696	-45.61749	0.881236	0.602249	1.95177	0.745172	0.17505	0.136926	0.20849	0.227745	0.946452	1.65151	0.702733
640	-200.6733	-158.134	-42.53937	0.868177	0.825531	1.98277	0.69346	0.0860388	0.0553159	0.133528	0.255595	1.26913	0.949075	0.633145
650	-210.3076	-160.4602	-49.84742	0.88188	0.734365	1.96375	0.83498	0.113855	0.0161775	0.185242	0.414522	1.14224	0.662837	0.407549
660	-207.902	-159.586	-48.31602	0.94427	0.689801	1.63108	0.788882	0.034928	0.00953028	0.241339	0.279604	0.975665	0.858141	0.349723
670	-206.283	-160.8141	-45.46891	0.903067	0.670868	1.54452	0.778419	0.0498869	0.0245179	0.127681	0.280608	0.868016	0.370861	0.311548
680	-201.0271	-157.6953	-43.33184	0.83501	0.745869	1.6446	0.631372	0.229433	0.0646508	0.227252	0.207639	0.670115	0.618913	0.446569
690	-197.4818	-155.8848	-41.59695	1.06547	0.788254	1.59307	0.539257	0.255003	0.182385	0.281815	0.192208	1.55923	0.552428	0.358164
700	-201.3007	-154.324	-46.97665	0.997715	0.790906	1.52486	0.661281	0.351308	0.0836376	0.298084	0.17086	1.66186	1.98466	0.615003
710	-195.5044	-155.0883	-40.41615	1.14532	1.00795	1.51216	0.69141	0.173763	0.185794	0.192336	0.208797	1.09047	2.11863	0.840265
720	-196.5602	-156.1554	-40.40477	1.057	0.837337	1.32313	0.612996	0.167533	0.182365	0.241428	0.355978	1.12009	1.62233	0.77027
730	-200.0424	-157.6303	-42.41209	1.18488	0.743182	1.42677	0.880391	0.156091	0.386786	0.310019	0.320959	1.58278	0.462198	0.861412
740	-200.2177	-156.5268	-43.69087	0.970827	0.664113	1.65164	1.01069	0.501221	0.322998	0.286888	0.650453	0.839393	1.68476	0.321886
750	-198.0819	-154.555	-43.5269	1.02652	0.820058	1.77358	0.9162	0.306411	0.242073	0.152339	0.485441	1.33559	1.86915	0.250513
760	-197.985	-153.6298	-44.35513	1.03915	0.853482	1.89856	0.855814	0.310798	0.256531	0.305646	0.724882	2.0539	1.90409	0.637617
770	-201.1423	-158.265	-42.87735	1.03391	0.792961	2.05403	0.924762	0.296843	0.154163	0.330461	0.618052	1.83777	2.22207	0.776427
780	-198.5826	-155.4399	-43.14262	0.784529	0.8419	2.085	0.870171	0.164732	0.393816	0.283062	0.650916	1.97548	1.64318	0.789207
790	-195.6769	-155.8079	-39.86901	0.871955	0.943818	2.02359	0.835301	0.27112	0.311399	0.465563	0.45075	0.654036	1.50353	0.791177
800	-199.1098	-155.5898	-43.51996	0.78566	1.02585	2.12346	0.44581	0.305852	0.167753	0.361405	0.561652	0.514641	0.951795	0.875167
810	-196.1976	-153.7119	-42.48565	0.754762	1.05963	2.1607	0.301083	0.193364	0.218938	0.366271	0.41148	0.91173	1.13449	0.779929
820	-195.8605	-153.8884	-41.97205	0.612402	1.06169	2.21695	0.323476	0.191361	0.290215	0.389583	0.419176	1.18356	0.839751	0.631455
830	-197.8361	-156.4919	-41.34425	0.579402	0.914438	1.87768	0.279887	0.250712	0.388798	0.31269	0.283999	1.46203	1.26386	0.525418
840	-197.4703	-153.5831	-43.88719	0.514543	1.18069	1.99172	0.202177	0.27301	0.200263	0.299227	0.446852	0.894502	1.9185	0.326957
850	-203.9165	-155.1897	-48.72682	0.601926	1.14963	1.89015	0.374789	0.0773467	0.23692	0.20615	0.37958	1.02304	1.71003	0.542413
860	-212.095	-156.4184	-55.67662	0.672742	1.13342	1.91424	0.120256	0.105018	0.301529	0.343898	0.138886	0.740257	1.43038	0.225596
870	-212.3914	-155.2275	-57.16388	0.385803	0.982946	1.82358	0.295016	0.0355258	0.0642522	0.315961	0.0495558	1.48841	1.41109	0.21198
880	-210.1045	-158.3032	-51.80126	0.6879	1.0272	1.93374	0.415046	0.16731	0.0081702	0.178286	0.125427	1.11287	0.600328	0.14255
890	-204.3767	-159.0436	-45.33307	0.547004	1.05844	2.00551	0.28851	0.0778622	0.0159653	0.226056	0.202633	1.03022	0.51483	0.0589106
900	-207.6786	-161.3077	-46.37089	0.640523	0.729929	1.83853	0.31007	0.0308545	0.10752	0.280261	0.116202	0.749551	0.204664	0.188321
910	-209.8687	-159.5773	-50.29134	0.602442	0.177488	2.22734	0.120682	0.0244922	0.179912	0.416228	0.289561	0.824769	0.0669003	0.0632938
920	-211.5205	-164.1612	-47.35934	0.620959	0.18202	2.13452	0.090699	0.0835185	0.144383	0.404764	0.156497	0.371822	0.0981049	0.337694
930	-208.9359	-163.2687	-45.66724	0.610403	0.357452	2.08461	0.111585	0.311698	0.306063	0.239132	0.138342	0.876055	0.294731	0.236
940	-208.6806	-166.7753	-41.90524	0.566029	0.58722	2.00369	0.152179	0.191347	0.153555	0.185176	0.21171	0.421428	0.56551	0.127608
950	-207.4562	-157.7291	-49.72716	0.632445	0.274554	1.91029	0.133339	0.0236848	0.272208	0.135957	0.113702	0.193002	0.570556	0.117536
960	-212.3993	-162.1447	-50.25465	0.604465	0.386908	1.98312	0.238675	0.0274231	0.134539	0.413865	0.163129	0.0796608	0.176093	0.0891016
970	-210.8653	-157.892	-52.97335	0.53071	0.50854	2.04413	0.344414	0.0120792	0.0858578	0.614651	0.0934786	0.352967	0.0431881	0.120013
980	-205.4234	-157.1167	-48.30676	0.610802	0.471864	2.05303	0.608015	0.0283096	0.140234	0.512881	0.195746	0.441337	0.216632	0.0683702
990	-213.2244	-163.4289	-49.7955	0.458898	0.712767	2.24088	0.916957	0.0347665	0.0766314	0.304371	0.252922	0.0445221	0.157511	0.0338627
1000	-216.6275	-163.4695	-53.158	0.626925	0.451786	2.24922	0.852512	0.0121364	0.00570883	0.363457	0.121575	0.257975	0.253972	0.0856253
1010	-212.9768	-157.4687	-55.50806	0.41615	0.314752	2.21324	0.900293	0.0472746	0.00345698	0.404728	0.218254	0.586583	0.656867	0.0835436
1020	-217.6892	-159.6711	-58.01809	0.474995	0.28686	2.29422	0.929558	0.0543679	0.00166809	0.374608	0.100209	1.36801	0.597044	0.0711003
1030	-217.4607	-157.5394	-59.92129	0.561302	0.194935	2.22909	0.773688	0.0151744	0.000673924	0.210425	0.0536912	1.7633	0.610663	0.0676563
1040	-213.1606	-156.7138	-56.44684	0.530551	0.311209	2.01492	0.708013	0.0116519	0.000729618	0.266	0.239594	1.70151	0.666878	0.134527
1050	-216.2613	-156.5197	-59.74154	0.539746	0.391137	1.94707	0.684115	0.00347585	0.000240404	0.333891	0.294705	1.79741	0.873198	0.165758
1060	-225.759	-162.0356	-63.72337	0.512151	0.116802	1.97132	0.607271	0.00596232	0.000310285	0.212132	0.231896	2.18017	0.597725	0.138622
1070	-213.9797	-157.2212	-56.75849	0.698091	0.235395	2.30906	0.723467	0.0164705	0.00180628	0.493265	0.267945	2.31193	1.84798	0.0908881
1080	-213.6931	-158.4931	-55.20001	0.659656	0.115679	2.46807	0.88406	0.0244399	0.0126113	0.455992	0.173395	3.00751	2.10953	0.319584
1090	-212.9907	-157.5193	-55.47142	0.603395	0.120836	2.68663	0.867991	0.0130366	0.00902259	0.597786	0.133071	2.37818	0.725731	0.300799
1100	-211.4799	-156.2141	-55.26584	0.57575	0.0637048	2.4835	0.564638	0.0319269	0.0210158	0.490325	0.0602259	2.07757	0.921288	0.376714
1110	-214.4124	-155.3229	-59.08951	0.589787	0.0767211	2.34595	0.515999	0.0102128	0.01823	0.418413	0.0647907	2.2705	0.445543	0.246393
1120	-220.2626	-156.2521	-64.01057	0.524108	0.0885571	1.93715	0.421138	0.00623073	0.0401221	0.198216	0.0463664	1.4204	0.88073	0.382052
