Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
990	-213.7719	-180.8336	-32.93832	0.00857837	0.0143283	0.0224298	0.0500145	0.111682	0.107303	0.046693	0.0166428	0.03167	0.0313283	0.0220648
1000	-212.5227	-181.6286	-30.89415	0.0108662	0.00785116	0.0222823	0.0351765	0.122163	0.0968785	0.0170507	0.0258343	0.0230989	0.0248159	0.0126337
1010	-219.8294	-180.745	-39.08445	0.0017842	0.0103372	0.0228241	0.0334489	0.104043	0.0736243	0.017135	0.0278977	0.00734194	0.0172121	0.0210364
1020	-188.9917	-180.7007	-8.290914	0.000239498	0.000947479	0.00775374	0.0680124	0.148613	0.104678	0.0419098	0.0171041	0.0282678	0.00715712	0.00583196
1030	-220.9247	-180.7459	-40.17889	0.00124988	0.00390241	0.0139629	0.0706307	0.124713	0.0359954	0.014014	0.0112715	0.0249808	0.0144866	0.0237479
1040	-223.4169	-180.0025	-43.41433	0.00123836	0.00738776	0.022117	0.059178	0.086287	0.061474	0.0659482	0.0213996	0.0345135	0.0237466	0.051311
1050	-209.1161	-185.451	-23.66511	0.00110256	0.00304089	0.0122156	0.0396218	0.226211	0.057444	0.00895967	0.00934867	0.00955558	0.00403632	0.00272343
1060	-190.4505	-183.2344	-7.216148	0.00201289	0.00680865	0.0106896	0.0651119	0.158564	0.134044	0.0407777	0.0239835	0.011537	0.0123481	0.00419337
1070	-213.9399	-182.5302	-31.40969	0.000795361	0.00419623	0.0108907	0.0351332	0.0690071	0.071906	0.0941757	0.0320045	0.0291895	0.0172067	0.0116751
1080	-204.8542	-179.4311	-25.42304	0.00107545	0.00325135	0.0143552	0.0525179	0.0876679	0.113649	0.0103336	0.0152899	0.0049969	0.0160907	0.0314744
1090	-213.7113	-179.7681	-33.94318	0.00369005	0.00359156	0.0148838	0.031842	0.11971	0.062074	0.0288319	0.0139801	0.00576655	0.00329538	0.0159288
1100	-216.2028	-184.5997	-31.60308	0.00291793	0.000656605	0.00494569	0.0327824	0.174226	0.0835072	0.00282655	0.0187635	0.000746335	0.00233301	0.0259201
1110	-207.7428	-184.1961	-23.54671	0.000260275	0.0024016	0.00800349	0.0122892	0.0882697	0.0521181	0.0275741	0.0567655	0.048905	0.0203046	0.0241887
1120	-231.7249	-186.6043	-45.12056	0.00593598	0.0159193	0.0171055	0.0402403	0.0467923	0.0549852	0.0298182	0.0123212	0.0117568	0.00820658	0.00631042
1130	-228.5815	-180.5082	-48.07327	0.006633	0.00705294	0.0140146	0.0242168	0.0929223	0.0969538	0.048186	0.0161166	0.0135461	0.0122639	0.0298536
1140	-195.3516	-179.6674	-15.68425	0.000682063	0.00374469	0.0102654	0.045363	0.0885582	0.0745429	0.0320864	0.0214261	0.0217157	0.0142493	0.01008
1150	-223.6924	-183.8546	-39.83784	0.00209665	0.00645617	0.0111817	0.0148685	0.071175	0.0873673	0.0473892	0.0520736	0.063724	0.0194854	0.0564816
1160	-215.6422	-178.8503	-36.7919	0.00112017	0.0017726	0.0114617	0.0615092	0.130934	0.0757154	0.0408223	0.0273882	0.0217906	0.0102565	0.015027
1170	-188.8626	-180.7516	-8.111027	0.00416995	0.00307731	0.0242355	0.0841624	0.11443	0.0877549	0.079569	0.0391645	0.0134155	0.0290665	0.029618
1180	-218.8819	-183.0471	-35.83471	0.00290956	0.00668714	0.00594322	0.022798	0.138726	0.0492889	0.0462064	0.0164919	0.0232155	0.0285106	0.089334
1190	-192.1751	-181.2997	-10.87545	0.00465802	0.00762656	0.0242891	0.0529383	0.144597	0.0562162	0.0242131	0.0106394	0.00620077	0.0025092	0.0102489
1200	-205.6033	-183.1218	-22.48146	0.000778443	0.00132565	0.00513166	0.0265093	0.0712248	0.0511363	0.0221015	0.00118797	0.00174739	0.00557292	0.038613
1210	-193.5434	-179.5881	-13.95531	0.000298898	0.00503285	0.0102116	0.0289658	0.0918519	0.0809349	0.0170354	0.0275115	0.0150922	0.00188074	0.0253989
1220	-203.0617	-180.6117	-22.45007	0.00416394	0.00683961	0.017939	0.0572428	0.0935479	0.124208	0.0426156	0.033564	0.0163024	0.0104873	0.0126029
1230	-208.2281	-180.4788	-27.74924	0.00780181	0.00737449	0.0107465	0.0349783	0.116969	0.0812508	0.056329	0.0281166	0.0299597	0.0225022	0.0249099
1240	-223.7702	-180.6568	-43.11338	0.00176057	0.00303248	0.0127562	0.053098	0.108266	0.0301027	0.0273437	0.0237166	0.0232078	0.0105314	0.0231468
1250	-208.8594	-182.5023	-26.35712	0.00145936	0.00341249	0.00728858	0.0923649	0.114293	0.0530097	0.0282535	0.0194288	0.0288988	0.0394743	0.0888707
1260	-215.8856	-181.2174	-34.66827	0.000987677	0.00145719	0.0297687	0.0249927	0.0864097	0.0579184	0.0147781	0.0344913	0.0146889	0.0141616	0.0116265
1270	-219.9329	-179.1787	-40.75422	0.000448152	0.000876013	0.0291572	0.071319	0.0818718	0.0888122	0.0323424	0.0187038	0.04009	0.0126206	0.0121993
1280	-213.9562	-179.0798	-34.87643	0.00351134	0.000742216	0.00707251	0.0698155	0.13059	0.0904777	0.0107198	0.0058572	0.0133999	0.00249074	0.0368875
1290	-216.2329	-183.7451	-32.48777	0.0101164	0.0197072	0.0156644	0.0457563	0.0973745	0.054071	0.0265175	0.0113005	0.0047641	0.0165397	0.017173
1300	-179.3075	-184.3469	5.039364	0.00550231	0.0195248	0.035325	0.0446299	0.0958427	0.0840158	0.0765761	0.0421721	0.0730885	0.0747383	0.0336207
1310	-223.6095	-182.8303	-40.77924	0.00577736	0.00435014	0.00541552	0.0364681	0.0752855	0.0933256	0.0354389	0.0221256	0.0330888	0.0492089	0.0977013
1320	-188.7012	-181.074	-7.627169	0.00416387	0.00526645	0.0148936	0.0582462	0.077183	0.0533345	0.027915	0.0290989	0.0658156	0.0465525	0.0370567
1330	-214.7082	-181.2928	-33.41537	0.00147272	0.0092931	0.032733	0.047978	0.0810655	0.0633082	0.069429	0.0254196	0.0643376	0.0486568	0.0387264
1340	-226.8032	-178.6345	-48.16869	0.000612431	0.0057804	0.06477	0.101152	0.217599	0.0874297	0.0192791	0.0333114	0.0845138	0.0154654	0.0430692
1350	-216.3434	-180.9344	-35.40903	0.00868032	0.00784996	0.0173409	0.0745075	0.157896	0.099465	0.0371781	0.043411	0.0194366	0.045463	0.0297348
1360	-217.5615	-180.948	-36.61349	0.00443569	0.0127832	0.0193586	0.0439386	0.080653	0.0948949	0.0307312	0.010078	0.0075297	0.0134441	0.0465202
1370	-193.1849	-177.5988	-15.58609	0.0011709	0.00233055	0.0152955	0.0334358	0.111553	0.0837206	0.043242	0.0120436	0.0356909	0.0264178	0.0305151
1380	-184.1251	-182.5526	-1.572493	0.00960446	0.0139653	0.0128293	0.0294146	0.106439	0.0968358	0.0276091	0.0271293	0.0150305	0.0205549	0.0132208
1390	-203.73	-179.6308	-24.0992	0.00780229	0.00681508	0.0520921	0.105818	0.190349	0.164593	0.0814478	0.0660602	0.0306864	0.0270577	0.0613812
1400	-218.0685	-181.7173	-36.35123	0.000125753	8.31636e-05	0.0062791	0.0437081	0.142742	0.0621763	0.00432532	0.0334167	0.0219646	0.0728991	0.0254546
1410	-211.7357	-180.9079	-30.82775	0.00196084	0.00460146	0.0342094	0.0802069	0.127076	0.0500227	0.0513685	0.00760399	0.00736237	0.00773447	0.0266446
1420	-216.1591	-185.5703	-30.58877	0.00201302	0.00326663	0.0224004	0.0676549	0.068349	0.0405867	0.0128016	0.00197873	0.00267701	0.00470291	0.0247608
1430	-217.6453	-181.8599	-35.78547	0.0033225	0.00392106	0.0162318	0.0386983	0.135933	0.101149	0.116468	0.0381966	0.0719393	0.0130447	0.00763547
1440	-200.901	-180.5483	-20.3527	0.00201313	0.00379011	0.0367321	0.0566777	0.0745057	0.125688	0.0295926	0.025023	0.041925	0.022155	0.0784309
1450	-202.3286	-181.8207	-20.50789	0.00172141	0.00354778	0.00915165	0.0443417	0.193608	0.12993	0.00698439	0.00269065	0.00619243	0.0218232	0.136782
1460	-183.5819	-179.8694	-3.712462	0.00327314	0.00927726	0.0235967	0.0659615	0.106552	0.0725887	0.0227287	0.0196261	0.034248	0.0356945	0.0286681
1470	-193.7375	-181.6342	-12.10327	0.00678831	0.0104232	0.0149375	0.0500237	0.0889799	0.0808367	0.0516343	0.0459682	0.0230827	0.0460196	0.0512944
1480	-215.1079	-182.9562	-32.15172	0.00692578	0.00829927	0.0150535	0.0329627	0.111384	0.155761	0.0186619	0.017281	0.00936777	0.00843606	0.0132864
1490	-215.9309	-178.6749	-37.25597	0.00506706	0.00842866	0.0248321	0.0414651	0.128412	0.0647839	0.0165956	0.004731	0.0251488	0.00503866	0.0390388
1500	-218.263	-182.6243	-35.63862	0.0102653	0.0130659	0.0133102	0.0548436	0.139953	0.0683019	0.0428371	0.0239243	0.0545639	0.0232959	0.0154737
1510	-221.2617	-181.5845	-39.67728	0.00991326	0.00886224	0.022565	0.0489466	0.111245	0.0832313	0.0552685	0.0332577	0.0389684	0.0587235	0.074615
1520	-211.1421	-178.1905	-32.95167	0.00108492	0.00273274	0.0117803	0.0656967	0.117503	0.0803747	0.0197574	0.00509256	0.0502457	0.0222392	0.0189531
1530	-188.7707	-180.3075	-8.463268	0.00197986	0.0070709	0.0232547	0.0333166	0.0902677	0.0582494	0.0228379	0.0278746	0.0133424	0.0197121	0.0343628
1540	-206.9133	-181.9356	-24.97765	0.00501598	0.014454	0.00994068	0.0572381	0.0774416	0.109049	0.0730659	0.0133964	0.014171	0.0151195	0.0373243
1550	-191.6689	-182.0406	-9.628255	0.00165679	0.015483	0.0300978	0.0591721	0.115912	0.0786288	0.0861568	0.0558766	0.0405327	0.0167809	0.031873
1560	-201.8298	-180.1315	-21.69828	0.00168228	0.00485778	0.0294492	0.0398006	0.0999385	0.109351	0.0440614	0.0301753	0.0284292	0.0263048	0.0320775
1570	-206.3507	-179.5454	-26.80523	0.00279361	0.00572826	0.0182377	0.0445023	0.131793	0.0488343	0.031384	0.0192367	0.00872515	0.00955253	0.0520329
1580	-182.1278	-181.7635	-0.3642198	0.00689788	0.00940879	0.0164854	0.0688006	0.110573	0.0901192	0.0253585	0.0134205	0.0194604	0.05189	0.110237
1590	-213.3156	-179.8527	-33.46294	0.000965891	0.00187593	0.0152132	0.0429094	0.0852245	0.11269	0.0516631	0.0511102	0.0149029	0.0266532	0.0722349
1600	-214.9311	-182.2211	-32.71001	0.00324784	0.00567494	0.0254794	0.0507025	0.0856608	0.118306	0.0470083	0.0627549	0.0332403	0.0977975	0.0234808
1610	-219.4489	-183.3953	-36.05363	0.00055469	0.00574712	0.0085654	0.0375555	0.0578133	0.0920649	0.0417333	0.0673858	0.0471297	0.0567483	0.0773824
