Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
260	-218.112	-178.7932	-39.3188	0.000865504	0.00285345	0.00280533	0.00261559	0.00718949	0.00620541	0.00795454	0.00979281	0.00494818	0.00254708	0.00221713	0.5236446	-7.0522	-5.85923	-5.87624	-5.94626	-4.93514	-5.08233	-4.83401	-4.62611	-5.30874	-5.97281	-6.11154	-9.94301	-6.53265	-3.90028	-3.03035	-2.26061	-2.30427	-6.43005	-5.83842	-3.64455	-4.00883	-2.59525	4.80625e-05	0.00145514	0.0202363	0.0482986	0.104286	0.0998319	0.00161237	0.00291343	0.0261332	0.0181546	0.0746273	2.069372
270	-198.0804	-180.8943	-17.18608	5.60052e-05	4.85807e-05	4.66747e-05	4.49078e-05	4.78457e-05	3.97819e-05	2.67935e-05	3.11902e-05	3.17731e-05	2.43809e-05	2.92577e-05	0.1501465	-9.79007	-9.93229	-9.97231	-10.0109	-9.94753	-10.1321	-10.5274	-10.3754	-10.3569	-10.6217	-10.4394	-6.02765	-4.67798	-4.26552	-3.2273	-2.7213	-2.81082	-3.69795	-4.12212	-4.12764	-4.24564	-3.59853	0.00241114	0.00929777	0.0140446	0.0396646	0.0657892	0.0601558	0.0247742	0.0162102	0.0161209	0.0143265	0.0273638	0.4558918
280	-207.3616	-179.2676	-28.09401	8.7175e-05	6.94864e-05	0.00013266	0.000266825	0.000242141	0.000231751	0.000172924	0.000139194	8.66998e-05	0.000121543	0.000107567	0.4472564	-9.34759	-9.57438	-8.92772	-8.22892	-8.32599	-8.36985	-8.66266	-8.87964	-9.35306	-9.01524	-9.1374	-7.60806	-6.16353	-4.30209	-3.50501	-2.368	-2.99273	-3.63168	-5.48269	-4.66408	-4.1801	-3.73381	0.000496433	0.00210481	0.0135402	0.0300464	0.0936676	0.0501503	0.0264716	0.00415811	0.00942789	0.015297	0.0239016	1.290183
290	-169.9467	-179.3661	9.41941	4.57898e-05	4.57893e-05	4.57938e-05	4.51155e-05	4.56155e-05	4.54598e-05	4.60094e-05	4.64011e-05	4.49526e-05	4.57378e-05	4.61391e-05	0.01969023	-9.99145	-9.99146	-9.99136	-10.0063	-9.99526	-9.99868	-9.98667	-9.97819	-10.0099	-9.99258	-9.98385	-5.27841	-5.15453	-3.7562	-2.9493	-2.2048	-2.32135	-3.5676	-3.81184	-4.31846	-4.06633	-3.94768	0.00510053	0.0057732	0.0233725	0.0523763	0.110272	0.0981413	0.0282234	0.0221074	0.0133204	0.0171402	0.0192993	0.8858974
300	-211.9426	-180.289	-31.6536	0.03366	0.0219432	0.0121174	0.0119146	0.0105967	0.015527	0.00704969	0.00681462	0.0106142	0.0118692	0.0183349	0.6021701	-3.39144	-3.8193	-4.41311	-4.42999	-4.54722	-4.16517	-4.95477	-4.98869	-4.54556	-4.43381	-3.99895	-8.30199	-5.38116	-3.50884	-3.15508	-1.82689	-2.58245	-3.41394	-2.50987	-3.74463	-3.22593	-3.40985	0.000248023	0.00460246	0.0299316	0.0426351	0.160913	0.0755883	0.0329113	0.081279	0.0236443	0.0397187	0.0330461	1.438787
310	-217.1329	-181.7002	-35.43271	0.010064	0.00169849	0.00255445	0.00505645	0.000650082	0.00680264	0.00606109	0.00125368	0.00270796	0.00229854	0.0037598	1.647116	-4.59879	-6.37802	-5.96992	-5.28709	-7.33841	-4.99044	-5.10587	-6.68167	-5.91156	-6.07548	-5.58339	-5.7555	-5.22365	-3.92439	-2.57954	-2.46755	-2.28113	-2.69421	-2.97618	-2.87104	-2.91734	-2.63704	0.00316531	0.0053876	0.0197542	0.075809	0.0847923	0.102169	0.0675956	0.0509871	0.0566402	0.0540771	0.0715725	0.6728138
320	-218.7197	-182.742	-35.97765	0.000439641	0.000129933	7.44678e-05	0.000124084	0.000150752	0.000121168	8.01898e-05	2.43913e-05	3.13465e-05	5.66987e-05	0.000262604	0.6465467	-7.72955	-8.94849	-9.50514	-8.99455	-8.79988	-9.01833	-9.43111	-10.6213	-10.3704	-9.77776	-8.24486	-6.26968	-5.16355	-5.02852	-3.88685	-2.32029	-2.04114	-4.13782	-5.18188	-5.04111	-5.72689	-4.55831	0.00189284	0.00572133	0.0065485	0.0205099	0.0982451	0.12988	0.0159576	0.00561741	0.00646656	0.00325719	0.0104797	1.285927
330	-221.0482	-181.615	-39.43319	0.000154051	4.24929e-05	3.63071e-06	1.06351e-06	9.63048e-08	7.13196e-09	1.40391e-09	6.24283e-11	2.2828e-10	8.95623e-10	4.29054e-09	2.103249	-8.77823	-10.0662	-12.5261	-13.7539	-16.1557	-18.7587	-20.384	-23.497	-22.2004	-20.8335	-19.2669	-5.82425	-5.21973	-4.46907	-3.22799	-2.68326	-2.34767	-2.52578	-3.25195	-3.57929	-3.22107	-3.56237	0.00295501	0.00540876	0.0114579	0.0396371	0.0683401	0.0955921	0.0799961	0.0386988	0.0278954	0.0399124	0.0283714	0.5193294
340	-218.63	-179.2858	-39.34418	0.000272161	0.000369261	6.37897e-05	1.80261e-05	3.27721e-05	3.52109e-06	7.62013e-07	1.0245e-06	1.11757e-06	8.41906e-07	5.32629e-07	0.9992442	-8.20912	-7.90401	-9.65992	-10.9237	-10.3259	-12.5567	-14.0873	-13.7913	-13.7044	-13.9876	-14.4454	-6.47965	-6.05814	-3.42191	-2.87117	-2.49322	-2.20923	-4.50037	-4.03199	-3.84467	-3.57704	-3.54078	0.00153435	0.00233874	0.03265	0.0566329	0.0826436	0.109786	0.0111049	0.0177391	0.0213934	0.0279583	0.0289907	1.155071
350	-196.2076	-179.8439	-16.36365	0.000363392	0.000331645	0.000377183	0.000293851	0.000269996	0.000225146	0.000215551	0.000216372	0.00021429	0.00022962	0.000184463	0.2074074	-7.92003	-8.01144	-7.88278	-8.13244	-8.2171	-8.39876	-8.44231	-8.43851	-8.44818	-8.37908	-8.59806	-5.99103	-5.32473	-3.92167	-3.40276	-2.25241	-2.35647	-3.1293	-4.07875	-3.47037	-4.50773	-5.01164	0.00250109	0.00486964	0.0198079	0.0332812	0.105146	0.0947538	0.0437485	0.0169285	0.0311056	0.0110234	0.00666	1.174825
