Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
820	-206.2913	-157.0838	-49.20744	0.00399753	0.00552589	0.0248561	0.0366464	0.603878	0.170257	0.576453	0.496069	3.50968	3.85619	1.56973
830	-207.4064	-155.0776	-52.32874	0.000650576	0.000715158	0.00754524	0.0150892	0.511004	0.212055	0.758101	0.679046	3.5089	5.70502	1.52536
840	-207.7938	-156.7146	-51.07921	0.000237448	0.00209827	0.011011	0.0670852	0.640281	0.177651	0.945898	0.833693	3.856	5.91353	1.44442
850	-206.632	-154.6993	-51.9327	0.000531149	0.000634978	0.00114504	0.0928759	0.54518	0.16533	0.691134	0.873656	3.49714	5.68051	1.07374
860	-203.5032	-158.5156	-44.98758	0.0113155	0.0118349	0.0128866	0.0555179	0.559925	0.114746	0.590949	1.00443	2.8418	4.1532	1.20418
870	-203.3266	-158.4811	-44.84551	0.0229099	0.05465	0.131811	0.0608208	0.611318	0.164923	0.728571	0.960268	3.33228	5.15923	1.1903
880	-200.0229	-161.9953	-38.02766	0.0408492	0.0613568	0.125757	0.12198	0.481816	0.173876	0.579917	1.02263	3.03418	4.16152	1.14211
890	-198.8019	-156.4247	-42.37722	0.00797131	0.0198443	0.0261274	0.190276	0.344018	0.18203	0.481783	0.860106	2.23461	3.17448	1.19929
900	-199.0807	-156.3733	-42.70736	0.023113	0.0550732	0.0885129	0.0433518	0.359201	0.343659	0.682364	0.954972	2.54032	3.45067	1.1566
910	-198.3149	-157.739	-40.57594	0.00163992	0.00544454	0.0167531	0.0603231	0.232252	0.400378	0.77593	0.742005	1.58143	2.87258	1.16876
920	-199.1775	-157.9008	-41.27668	0.0211141	0.0402678	0.0592375	0.140348	0.191336	0.364926	0.816341	0.665365	1.68382	2.80087	0.942493
930	-203.9843	-158.0134	-45.97096	0.0151066	0.0372219	0.0335746	0.0482098	0.206463	0.463335	0.655448	0.63129	1.34964	2.3856	1.06285
940	-202.3215	-158.7509	-43.57068	0.00219869	0.00664817	0.0136955	0.0351832	0.116061	0.268389	0.707371	0.64631	1.51436	1.67373	0.8164
