Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
680	-201.6491	-163.1312	-38.51787	0.33332	0.195425	0.187649	0.0576523	0.156082	0.170293	0.120177	0.0387966	1.09127	0.947773	0.631104
690	-197.358	-160.5507	-36.80731	0.111891	0.133034	0.107628	0.0278837	0.0539892	0.157824	0.0615901	0.0958515	0.80623	0.692631	0.146702
700	-204.057	-164.9572	-39.09979	0.381505	0.0296545	0.00635349	0.0141738	0.00610214	0.0574179	0.0362592	0.112303	0.870605	1.63481	0.385435
710	-205.1472	-160.0795	-45.06766	0.125072	0.240628	0.0281763	0.01391	0.0458172	0.00376839	0.0920674	0.119869	1.40885	3.32309	0.455376
720	-208.7938	-162.846	-45.9478	0.0669819	0.191907	0.0183833	0.0148164	0.0034798	0.021036	0.147503	0.0670822	0.874024	1.90981	0.622212
730	-209.3224	-160.6225	-48.69996	0.0989344	0.0901642	0.266313	0.0892421	0.00574436	0.0262134	0.0826818	0.118748	1.68927	1.25687	0.368762
740	-207.0343	-162.6076	-44.42672	0.0286115	0.0597718	0.223395	0.106314	0.0377828	0.053127	0.101144	0.101175	1.83692	1.17806	0.108222
750	-207.88	-158.3027	-49.57726	0.0492549	0.115821	0.259673	0.00882079	0.00384773	0.0510281	0.219108	0.131233	1.62208	1.12832	0.0856881
760	-210.7541	-160.7632	-49.9909	0.0410708	0.054423	0.335143	0.0160515	0.0101256	0.0103011	0.13131	0.0491484	1.02753	1.20798	0.0563865
770	-210.4931	-164.5332	-45.95986	0.0389966	0.176039	0.322288	0.124704	0.0239885	0.00462681	0.0941139	0.228446	0.594744	2.32629	0.29343
780	-206.6448	-161.0163	-45.62852	0.0290097	0.34641	0.421175	0.0263519	0.0252666	0.0435077	0.199563	0.362169	2.18689	4.34135	0.145825
790	-211.9227	-162.0178	-49.90488	0.0256661	0.364539	0.21594	0.0209467	0.0430943	0.0365678	0.19839	0.197982	2.59103	3.43499	0.0829861
800	-203.6477	-159.3663	-44.28136	0.136077	0.145253	0.262637	0.161671	0.0386066	0.129897	0.275949	0.193205	3.12076	4.95799	0.181169
810	-205.6392	-156.5698	-49.06938	0.134123	0.28365	0.0189569	0.281598	0.0439861	0.140156	0.396198	0.0334389	3.65148	5.62123	0.269965
820	-206.2913	-157.0838	-49.20744	0.103257	0.444715	0.21296	0.204243	0.11708	0.23925	0.459884	0.17664	3.7133	6.92905	0.196588
830	-207.4064	-155.0776	-52.32874	0.0518943	0.595809	0.0611404	0.00310236	0.227267	0.493804	0.576869	0.174113	3.94473	7.88595	0.425124
840	-207.7938	-156.7146	-51.07921	0.0263016	0.747249	0.0608415	0.189159	0.101331	0.508331	0.821658	0.250906	4.13614	8.56536	0.320255
850	-206.632	-154.6993	-51.9327	0.236413	0.570569	0.0348659	0.119569	0.0122255	0.356949	0.71257	0.392328	3.86901	7.34627	0.217932
860	-203.5032	-158.5156	-44.98758	0.162871	0.458469	0.184409	0.0449954	0.182843	0.330334	0.545628	0.432113	3.42681	6.40279	0.181154
870	-203.3266	-158.4811	-44.84551	0.492309	0.362532	0.177548	0.271176	0.122773	0.290228	0.541673	0.45458	3.80714	6.80641	0.361638
880	-200.0229	-161.9953	-38.02766	0.45426	0.400007	0.10721	0.276091	0.176598	0.239362	0.452245	0.59686	3.09218	6.13935	0.337011
890	-198.8019	-156.4247	-42.37722	0.447545	0.292835	0.0357078	0.192152	0.192857	0.112861	0.535366	0.26597	2.59366	5.21741	0.153935
900	-199.0807	-156.3733	-42.70736	0.53861	0.24366	0.0251366	0.00532872	0.0739113	0.589636	0.634958	0.337251	2.84455	5.20014	0.247278
910	-198.3149	-157.739	-40.57594	0.412731	0.0786608	0.0365957	0.183708	0.0824109	0.613298	0.50943	0.217	1.84847	4.40709	0.533941
