Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
200	-178.8039	-166.0339	-12.76997	0.221201	0.255358	0.239815	0.239021	0.191771	0.173297	0.186543	0.169358	0.190594	0.195544	0.203111	0.100502	-1.50868	-1.36509	-1.42789	-1.4312	-1.65145	-1.75275	-1.67909	-1.77574	-1.65761	-1.63197	-1.594	-4.48265	-4.36539	-3.31868	-2.09601	-0.647942	-1.51803	-1.38369	-0.620998	-1.01777	-2.35378	-1.45795	0.0113034	0.0127097	0.0362006	0.122946	0.523121	0.219142	0.250651	0.537408	0.361399	0.0950091	0.232714	0.7620595
210	-188.0047	-171.0389	-16.96576	0.259275	0.262292	0.250022	0.204543	0.198864	0.165155	0.137984	0.155804	0.193893	0.21742	0.226522	0.1176462	-1.34986	-1.3383	-1.38621	-1.58698	-1.61514	-1.80087	-1.98062	-1.85916	-1.64045	-1.52592	-1.48491	-4.92223	-5.39821	-4.58264	-2.98195	-0.672266	-0.967042	-1.47375	-0.713975	-1.38092	-1.55878	-2.13501	0.00728288	0.00452467	0.0102279	0.0506937	0.510551	0.380206	0.229064	0.489694	0.251348	0.210392	0.118243	0.7624144
220	-176.391	-165.6687	-10.72231	0.247759	0.248856	0.217508	0.216527	0.224343	0.212983	0.225039	0.20522	0.209284	0.199072	0.20892	0.08507675	-1.3953	-1.39088	-1.52552	-1.53004	-1.49458	-1.54654	-1.49148	-1.58367	-1.56406	-1.61409	-1.5658	-4.17105	-2.92502	-3.48625	-1.97103	-0.501644	-2.42595	-1.48368	-0.349364	-0.880244	-2.00356	-1.66376	0.0154361	0.0536634	0.0306154	0.139313	0.605534	0.0883941	0.226802	0.705136	0.414682	0.134855	0.189426	1.374602
230	-189.6901	-168.2092	-21.48088	0.33046	0.25013	0.279267	0.221049	0.220359	0.224688	0.199779	0.150365	0.18106	0.183429	0.208638	0.2098933	-1.10727	-1.38578	-1.27559	-1.50937	-1.5125	-1.49304	-1.61055	-1.89469	-1.70893	-1.69593	-1.56716	-4.50573	-3.40686	-2.1303	-2.33539	-0.475687	-1.79841	-2.15764	-0.190851	-1.34006	-2.90521	-2.54243	0.0110455	0.0331451	0.118802	0.096773	0.621458	0.165563	0.115597	0.826256	0.26183	0.0547371	0.0786751	1.53563
240	-195.2379	-172.6225	-22.61541	0.300501	0.248229	0.295303	0.176902	0.146441	0.157702	0.174727	0.152972	0.223021	0.394457	0.393037	0.2508392	-1.2023	-1.3934	-1.21975	-1.73216	-1.92113	-1.84705	-1.74453	-1.8775	-1.50049	-0.930246	-0.933851	-5.21988	-3.6987	-2.62928	-1.71759	-0.928016	-1.2137	-1.68342	-0.701664	-1.18143	-1.37387	-1.97924	0.005408	0.0247556	0.0721302	0.179499	0.395337	0.297096	0.185737	0.495759	0.306841	0.253124	0.138174	1.114851
250	-171.0284	-166.4984	-4.529983	0.234594	0.231456	0.227616	0.211991	0.211107	0.220092	0.218228	0.218442	0.229984	0.23454	0.233786	0.02321533	-1.4499	-1.46336	-1.48009	-1.55121	-1.55539	-1.51371	-1.52221	-1.52124	-1.46974	-1.45013	-1.45335	-4.19769	-3.37905	-3.40067	-1.8728	-0.994881	-1.18315	-1.29671	-0.411316	-0.686958	-2.8913	-1.54372	0.0150302	0.0340799	0.0333511	0.153693	0.369768	0.306314	0.273429	0.662778	0.503104	0.0555038	0.213585	0.738322
260	-134.7713	-165.164	30.39275	0.233536	0.233389	0.233539	0.233332	0.233448	0.233209	0.233235	0.233337	0.233405	0.233223	0.233457	0.000944811	-1.45442	-1.45505	-1.45441	-1.45529	-1.4548	-1.45582	-1.45571	-1.45527	-1.45498	-1.45576	-1.45476	-9.02188	-7.03552	-3.98077	-1.26148	-0.843025	-2.08989	-1.18374	-0.154131	-0.912705	-2.28119	-1.47772	0.000120739	0.000880063	0.0186714	0.283235	0.430407	0.1237	0.306131	0.85716	0.401437	0.102162	0.228157	1.93247
270	-199.7075	-165.1005	-34.60702	0.163012	0.209214	0.24787	0.194042	0.156572	0.150352	0.17855	0.237718	0.397937	0.151577	0.0376303	0.6318927	-1.81393	-1.5644	-1.39485	-1.63968	-1.85424	-1.89477	-1.72289	-1.43667	-0.921461	-1.88666	-3.27995	-6.36141	-5.36858	-2.71755	-1.59952	-1.79953	-1.72084	-1.12711	-0.458975	-0.654092	-3.43788	-2.26408	0.00172693	0.00466076	0.0660362	0.201994	0.165377	0.178915	0.323968	0.631931	0.519914	0.0321326	0.103926	1.519426
280	-178.2193	-168.0602	-10.15909	0.130548	0.138211	0.130811	0.129366	0.122313	0.118446	0.122406	0.138762	0.131969	0.12277	0.128868	0.05503542	-2.03602	-1.97897	-2.034	-2.04511	-2.10118	-2.1333	-2.10041	-1.97499	-2.02519	-2.09744	-2.04897	-6.78808	-5.86308	-4.854	-3.58314	-1.92376	-1.91232	-2.04807	-0.511752	-1.38255	-2.05209	-2.41526	0.00112713	0.00284247	0.0077971	0.0277883	0.146056	0.147737	0.128984	0.599445	0.250939	0.128466	0.0893443	1.661792
290	-193.573	-169.232	-24.34105	0.100289	0.109532	0.104139	0.0984316	0.0879023	0.0822563	0.0832354	0.077792	0.0990856	0.101466	0.120545	0.1288858	-2.2997	-2.21154	-2.26203	-2.31839	-2.43153	-2.49792	-2.48608	-2.55372	-2.31177	-2.28803	-2.11573	-7.41589	-4.10707	-5.35788	-6.32402	-1.87683	-3.85135	-2.20783	-0.565057	-1.12409	-5.59162	-5.22406	0.000601619	0.016456	0.00471088	0.00179272	0.153074	0.021251	0.109939	0.568328	0.324948	0.00372899	0.00538544	2.349892
