Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]	interval_times[10]
1110	-195.8745	-171.0448	-24.82974	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1120	-200.3658	-171.9748	-28.39104	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1130	-220.0144	-167.0291	-52.98528	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1140	-203.1011	-168.6761	-34.425	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1150	-213.5713	-170.172	-43.39927	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1160	-217.2481	-173.0239	-44.22424	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1170	-203.4769	-168.905	-34.57192	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1180	-217.0815	-165.5991	-51.48248	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1190	-217.1697	-167.7359	-49.43379	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1200	-217.3122	-166.3387	-50.97346	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1210	-214.547	-168.6812	-45.8658	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1220	-201.3607	-171.5062	-29.85453	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1230	-188.8462	-167.5368	-21.30942	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1240	-200.282	-169.7231	-30.55892	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1250	-191.2603	-165.8397	-25.4206	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1260	-213.4716	-174.2129	-39.25874	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1270	-220.7933	-175.1198	-45.67347	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1280	-194.2549	-172.5906	-21.66423	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1290	-180.0844	-170.9303	-9.154081	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1300	-205.257	-167.5785	-37.67849	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1310	-199.0558	-167.5783	-31.47756	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1320	-210.77	-170.8272	-39.9428	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1330	-211.0811	-167.5118	-43.56931	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1340	-206.2382	-168.0005	-38.23767	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1350	-206.1675	-169.8291	-36.33834	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1360	-204.5974	-169.197	-35.40043	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1370	-213.081	-177.4166	-35.6644	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1380	-209.8441	-174.1971	-35.64701	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1390	-189.3004	-172.6406	-16.65983	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1400	-203.2003	-171.1773	-32.023	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1410	-197.2347	-169.8442	-27.39049	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1420	-203.5395	-171.5841	-31.95531	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1430	-213.7367	-169.9192	-43.8175	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1440	-198.6659	-174.0188	-24.64709	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1450	-208.8778	-166.0518	-42.82604	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1460	-209.9123	-166.3523	-43.56002	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1470	-201.6388	-168.9391	-32.69967	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1480	-200.6886	-170.4963	-30.19234	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1490	-182.1685	-169.0563	-13.11211	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1500	-193.2887	-169.7539	-23.53479	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1510	-199.2539	-170.0719	-29.18201	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1520	-189.134	-169.1953	-19.93869	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1530	-194.1781	-169.1144	-25.06375	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1540	-182.4721	-169.6473	-12.82482	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1550	-195.6871	-168.9958	-26.69133	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1560	-176.9591	-170.5104	-6.448753	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1570	-205.6748	-171.2398	-34.43496	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1580	-184.3425	-169.7365	-14.60603	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1590	-189.5643	-171.6655	-17.89876	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1600	-206.3758	-164.1473	-42.22844	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1610	-204.8994	-164.9534	-39.94595	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1620	-201.8803	-169.5103	-32.37005	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
1630	-191.6925	-174.3239	-17.36867	7.96894	15.9379	23.9068	31.8758	39.8447	47.8136	55.7826	63.7515	71.7205	79.6894
