Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
910	-172.7182	-167.5878	-5.130426	0.00131455	0.00128317	0.00173887	0.0116726	0.0636181	0.151286	0.0939722	0.479808	0.239112	0.0618684	0.0506457
920	-203.2518	-169.1406	-34.11129	0.00363647	0.0155289	0.017777	0.0125149	0.0350918	0.190569	0.104889	0.570919	0.280209	0.110074	0.0559587
930	-204.7785	-168.5739	-36.20465	0.000129044	0.000624157	0.000992503	0.0016719	0.0180436	0.0255366	0.0157202	0.357656	0.216949	0.0113352	0.0381861
940	-192.2942	-169.567	-22.72722	0.000278099	6.80772e-05	0.000124265	0.00242131	0.00346356	0.0191777	0.0603716	0.273511	0.232166	0.00285101	0.0244977
950	-206.2152	-170.176	-36.03925	0.000283586	0.00607906	0.00396444	0.00625386	0.0182883	0.0313074	0.0562143	0.310832	0.42332	0.0989642	0.0143881
960	-206.9692	-171.9159	-35.05333	0.000793328	0.00507862	0.00537826	0.0141915	0.0221722	0.0103607	0.0211196	0.245611	0.287589	0.0440122	0.0595133
970	-205.3846	-172.0727	-33.31184	5.57675e-05	3.65686e-05	0.000233207	0.00080691	0.00467851	0.00875081	0.0304744	0.122857	0.128858	0.0259109	0.0174385
980	-223.2763	-172.0557	-51.22065	0.000883787	0.00231903	0.000615589	0.00366047	0.00264331	0.00479884	0.016259	0.227386	0.235817	0.0194186	0.0166015
990	-215.5442	-174.2938	-41.25037	0.000174971	0.000373393	0.000892174	0.000590296	0.00208247	0.00545045	0.00548816	0.0818002	0.163326	0.0903202	0.022644
1000	-224.4338	-172.8408	-51.59298	0.000577028	0.000293532	0.00106507	0.00139585	0.0107583	0.0152449	0.0216819	0.0853736	0.142247	0.04367	0.0128458
1010	-224.1856	-172.6995	-51.48612	0.000100219	0.000798024	5.28184e-05	0.000867399	0.0127841	0.0100039	0.015275	0.0879747	0.09847	0.0239618	0.0190249
1020	-208.1286	-174.0733	-34.05532	0.000593919	0.000321459	9.7761e-05	0.000121642	0.00365842	0.0195077	0.0167996	0.0898645	0.170909	0.0121598	0.000857248
1030	-228.9761	-173.4653	-55.51082	0.000955949	0.00121942	0.000271825	0.000635097	0.00085565	0.011933	0.0214743	0.111318	0.199803	0.00109509	0.00950129
1040	-220.4265	-171.0555	-49.37102	0.000526629	0.00111271	0.000753901	0.00371054	0.0061901	0.0059184	0.0128328	0.0915621	0.203898	0.0291633	0.0258247
1050	-223.7878	-174.5168	-49.27101	0.000326171	0.000841166	0.00124607	0.0017051	0.00246114	0.00286504	0.024039	0.108635	0.227777	0.123165	0.0155349
1060	-217.0793	-173.5785	-43.50087	0.00074622	0.00096009	0.00227453	0.00305215	0.00614113	0.00492054	0.0193141	0.1194	0.161075	0.0561733	0.00237714
1070	-215.1398	-172.0793	-43.06053	0.000349986	0.000685404	0.00046193	0.00060581	0.00667169	0.00930688	0.0300485	0.128922	0.187845	0.0318354	0.0178106
1080	-218.6609	-171.7217	-46.93918	0.00198235	0.000344599	7.07951e-05	0.000516653	0.00205973	0.00298832	0.0222143	0.114264	0.216315	0.00616628	0.0246793
1090	-186.3155	-170.834	-15.48149	5.01626e-05	0.000587995	0.000298923	0.000265537	0.012468	0.0136989	0.00860622	0.137876	0.197017	0.0153837	0.00758626
1100	-209.8508	-174.6999	-35.15092	0.00713313	0.00916152	0.00947857	0.00144006	0.0111232	0.129553	0.0465463	0.283227	0.261747	0.0698988	0.0158315
1110	-195.8745	-171.0448	-24.82974	0.000936565	0.00315427	0.00325044	0.0019765	0.00633564	0.0161111	0.0313647	0.173131	0.188467	0.0203163	0.0131615
1120	-200.3658	-171.9748	-28.39104	5.1005e-05	0.000173981	0.000445773	0.00103744	0.00887254	0.0140282	0.0263038	0.13799	0.143526	0.00681898	0.0265679
1130	-220.0144	-167.0291	-52.98528	0.000407771	0.000262072	0.00221371	0.00342744	0.0269569	0.045461	0.169272	0.394749	0.418677	0.033357	0.0171172
