Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
730	-194.9254	-169.0515	-25.87391	0.156128	0.108526	0.0649235	0.084183	0.0570111	0.0785897	0.0784347	0.0542242	0.0506949	0.0598306	0.0580795
740	-197.6889	-168.9009	-28.78797	0.0545945	0.0368843	0.0356822	0.0436255	0.040215	0.0383551	0.0314309	0.0198955	0.0213834	0.032626	0.0468338
750	-201.7251	-169.9839	-31.74126	0.0634078	0.0482326	0.0562848	0.0368924	0.0587224	0.0553086	0.0457092	0.0338758	0.0277167	0.0268045	0.0286699
760	-211.3282	-169.7192	-41.60897	0.0344957	0.0648822	0.0312763	0.0283911	0.0202122	0.144819	0.00810273	0.0144329	0.0382494	0.0164672	0.0191256
770	-208.6438	-173.896	-34.74782	0.0259393	0.00900125	0.0258967	0.0329232	0.0209893	0.0199469	0.00910471	0.00196652	0.0044392	0.00436111	0.0191934
780	-199.1531	-170.313	-28.84009	0.0263735	0.0207699	0.0284303	0.0283247	0.0272706	0.0202427	0.0212488	0.0145547	0.0125818	0.0139318	0.0105973
790	-203.4245	-170.0331	-33.39137	0.0123077	0.0154542	0.021091	0.0349554	0.0578781	0.0464944	0.0334902	0.0241477	0.016591	0.01121	0.00567176
800	-188.6072	-169.5297	-19.07752	0.0432929	0.0537927	0.0569143	0.0479941	0.053791	0.0561891	0.0647444	0.0602538	0.0510833	0.0471463	0.0475973
810	-188.2769	-170.0884	-18.18848	0.0669548	0.0631102	0.0603405	0.0551557	0.0610679	0.0568106	0.0589108	0.0620178	0.0555172	0.0542024	0.0509664
820	-212.3308	-171.3287	-41.0021	0.0122335	0.00879239	0.00203729	0.00476075	0.00372084	0.00499883	0.00263332	0.00633748	0.00116685	0.000638043	0.000216525
830	-237.985	-172.5976	-65.38736	0.0381514	0.00120648	0.00848813	1.12657e-05	0.00903691	0.000264225	0.0327005	1.04163e-05	8.98165e-06	3.82376e-06	8.48633e-08
840	-210.0195	-171.3873	-38.6322	0.00102882	0.00132334	0.00316071	0.00392284	0.00683782	0.00354116	0.00261255	0.00142719	0.00279329	0.00396322	0.00460256
850	-221.1793	-169.4571	-51.72221	0.0479345	0.000821826	0.00013519	0.0236149	0.0929849	0.043105	0.000528409	0.00268357	0.00116013	0.000271616	0.000684251
860	-222.6088	-172.1254	-50.48343	0.000366747	0.00304938	0.000379133	1.5764e-05	4.65846e-06	1.78959e-06	2.29196e-06	1.60306e-05	5.35998e-05	0.000174148	0.000532484
870	-216.931	-167.7353	-49.19571	0.104069	0.0290036	0.00251241	0.000247608	8.40955e-05	1.00646e-05	0.000155326	0.000117382	2.6576e-05	3.46279e-05	7.62745e-05
880	-222.1793	-173.068	-49.11136	0.00646689	0.00118558	0.00210905	0.000172075	5.08646e-05	0.00179648	7.81125e-05	0.00031823	2.88007e-05	1.47569e-05	3.54695e-06
890	-209.6263	-169.8224	-39.8039	0.0393833	0.00807577	0.00270502	0.00228569	0.00174912	0.000679458	0.00423363	0.00471712	0.00469395	0.00640315	0.00202409
900	-206.9273	-167.6582	-39.26905	0.039845	0.0751982	0.0842587	0.0120975	0.0322159	0.028329	0.0291988	0.0276663	0.018015	0.0121356	0.013997
910	-172.7182	-167.5878	-5.130426	0.0886721	0.0925204	0.0872503	0.0918737	0.0929327	0.0916755	0.0945588	0.0908852	0.091458	0.0922928	0.0957603
920	-203.2518	-169.1406	-34.11129	0.245998	0.101129	0.0821961	0.0318292	0.0613874	0.126191	0.151838	0.0419451	0.052686	0.0809894	0.0477422
930	-204.7785	-168.5739	-36.20465	0.0648997	0.0320432	0.0591492	0.0508082	0.0482775	0.0237783	0.0133846	0.0170425	0.0130503	0.0115462	0.00611809
940	-192.2942	-169.567	-22.72722	0.0296514	0.0333345	0.0379904	0.0360142	0.0373551	0.0340481	0.0319813	0.0270423	0.0246785	0.0234745	0.0207857
950	-206.2152	-170.176	-36.03925	0.0624507	0.0380464	0.0528364	0.0492177	0.0541374	0.0516232	0.0191592	0.00490257	0.00362157	0.00351056	0.00189354
960	-206.9692	-171.9159	-35.05333	0.0364376	0.0567665	0.0223111	0.0215224	0.0144881	0.0110825	0.00625682	0.00476845	0.00359237	0.000748965	0.000435667
970	-205.3846	-172.0727	-33.31184	0.00320686	0.00687651	0.00599678	0.00421821	0.00605446	0.00911805	0.00910109	0.00308123	0.00244567	0.0016116	0.00129962
980	-223.2763	-172.0557	-51.22065	0.00658693	0.0360314	0.056167	0.015731	0.00243865	3.85489e-05	0.0017891	0.00054328	0.000274765	2.31192e-05	2.28239e-06
990	-215.5442	-174.2938	-41.25037	6.84606e-05	3.08784e-05	2.27263e-05	7.53287e-06	7.85151e-06	3.82237e-06	1.00083e-05	5.11186e-06	2.21165e-07	5.20479e-08	1.24461e-07
1000	-224.4338	-172.8408	-51.59298	0.0161184	0.000198657	0.000160548	7.45023e-05	8.53759e-05	2.4001e-05	8.94679e-06	0.000143929	4.92602e-08	1.05866e-09	9.17612e-10
1010	-224.1856	-172.6995	-51.48612	0.00225811	0.00196717	0.00100736	2.71538e-05	2.43942e-05	2.37537e-06	3.21702e-06	6.14864e-07	1.60486e-06	3.63413e-08	2.98383e-09
1020	-208.1286	-174.0733	-34.05532	0.000214605	0.000306095	0.000202659	0.000222813	0.00011223	6.1729e-05	5.42722e-05	6.06801e-05	4.92187e-05	4.98184e-05	7.58307e-05
1030	-228.9761	-173.4653	-55.51082	0.00146808	0.000120091	0.000932383	0.00142959	0.000114716	2.65967e-06	1.87937e-05	6.44741e-07	7.58532e-06	6.42365e-05	9.15147e-06
1040	-220.4265	-171.0555	-49.37102	0.00026534	0.00175354	0.00132832	8.16361e-05	2.28251e-05	4.2398e-06	6.08682e-07	5.39161e-07	3.82047e-07	1.63917e-05	0.000294124
1050	-223.7878	-174.5168	-49.27101	6.71354e-05	1.91091e-05	9.01749e-05	3.67998e-05	3.27513e-06	7.7965e-07	3.34699e-09	1.70843e-08	7.5057e-08	1.39101e-07	1.94823e-08
1060	-217.0793	-173.5785	-43.50087	0.000467304	0.000484917	0.000406313	0.00134724	0.000420872	2.63089e-05	4.04211e-06	5.1303e-06	7.16269e-06	4.30799e-06	9.61413e-07
1070	-215.1398	-172.0793	-43.06053	9.62534e-05	0.000483563	0.000715137	0.000140928	2.77979e-05	2.51969e-06	7.80287e-07	3.14831e-07	3.19502e-07	1.71685e-06	2.34731e-06
1080	-218.6609	-171.7217	-46.93918	7.56161e-05	5.46725e-05	0.000427306	0.000150045	1.92076e-05	1.23348e-05	1.93119e-06	5.54264e-06	2.05754e-05	8.23734e-05	6.45567e-05
1090	-186.3155	-170.834	-15.48149	0.000202258	0.000189825	0.000174807	0.000170467	0.0001853	0.000176071	0.000189641	0.000169387	0.000176623	0.000181325	0.000182908
1100	-209.8508	-174.6999	-35.15092	0.160428	0.117873	0.108619	0.0495753	0.0177432	0.00731716	0.0070229	0.00973834	0.0150349	0.0109313	0.014845
1110	-195.8745	-171.0448	-24.82974	0.0224213	0.0223012	0.0199135	0.0170533	0.0167829	0.0200103	0.0133772	0.014133	0.0108364	0.00662176	0.00476746
1120	-200.3658	-171.9748	-28.39104	0.0016532	0.00134491	0.00114799	0.00168377	0.00221533	0.00216317	0.00152122	0.00189279	0.00203945	0.0011799	0.0008102
1130	-220.0144	-167.0291	-52.98528	0.0824388	0.0970741	0.00414201	0.150303	0.00776223	0.0127507	0.185876	0.0198035	0.00321716	0.0393165	0.000345457
1140	-203.1011	-168.6761	-34.425	0.0264609	0.037417	0.0575823	0.0643295	0.0653385	0.03894	0.0188795	0.0136482	0.017045	0.0137196	0.00830996
1150	-213.5713	-170.172	-43.39927	0.0966358	0.0788923	0.0653284	0.217561	0.0366952	0.0299912	0.0282734	0.00938493	0.00122148	0.000515308	0.000524485
