Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction_sd	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation_sd
200	-172.542	-167.8545	-4.687574	0.0941656	0.0953849	0.093169	0.0953237	0.0964702	0.0913	0.0958342	0.0980426	0.0994865	0.100316	0.102083	0.02213742	-2.3627	-2.34984	-2.37334	-2.35048	-2.33852	-2.3936	-2.34514	-2.32235	-2.30773	-2.29943	-2.28197	-8.2199	-5.36067	-4.14741	-4.42911	-2.5534	-3.26227	-1.57159	-0.614973	-1.21588	-3.22676	-3.39819	0.000269241	0.00469774	0.0158053	0.0119251	0.0778164	0.0383013	0.207715	0.540656	0.296448	0.0396859	0.0334336	1.370366
210	-197.5285	-169.124	-28.40458	0.117999	0.221721	0.190709	0.171902	0.238236	0.294284	0.194071	0.0963264	0.0916868	0.104622	0.0913997	0.4625927	-2.13708	-1.50634	-1.65701	-1.76083	-1.4345	-1.22321	-1.63953	-2.34001	-2.38938	-2.2574	-2.39251	-6.25776	-4.03166	-3.21575	-2.32855	-0.908862	-1.97048	-1.39397	-0.325676	-1.36133	-1.97588	-3.56824	0.00191554	0.0177448	0.0401251	0.0974365	0.402982	0.13939	0.248089	0.722039	0.256319	0.13864	0.0282056	1.082878
220	-196.8745	-165.8077	-31.06678	0.124625	0.097929	0.0571112	0.0973284	0.132731	0.100299	0.101094	0.0824758	0.126938	0.104031	0.0546211	0.3728597	-2.08245	-2.32351	-2.86275	-2.32966	-2.01943	-2.2996	-2.29171	-2.49525	-2.06406	-2.26306	-2.90733	-5.64348	-6.27664	-7.28692	-5.26124	-1.84247	-2.81066	-1.41238	-0.759878	-1.12228	-2.87994	-2.77049	0.00354052	0.00187971	0.00068443	0.00518886	0.158426	0.0601655	0.243563	0.467723	0.325536	0.056138	0.0626313	1.393367
230	-213.253	-169.954	-43.29898	0.00642141	0.0103227	0.144755	0.0735318	0.073946	0.0299505	0.0600773	0.0472732	0.0709591	0.303529	0.439434	0.8382841	-5.04812	-4.57341	-1.93271	-2.61004	-2.60442	-3.50821	-2.81212	-3.05181	-2.64565	-1.19228	-0.822268	-6.92712	-8.08656	-7.10228	-3.81312	-3.7747	-4.14183	-1.81772	-1.02995	-0.995776	-3.00525	-0.966205	0.00098082	0.000307646	0.000823223	0.0220791	0.022944	0.0158938	0.162395	0.357026	0.369437	0.0495266	0.380525	1.665623
240	-214.1589	-169.9102	-44.24871	0.00136688	0.0140264	0.0222865	0.0132665	0.156525	0.113634	0.271609	0.0672148	0.0656771	0.204816	0.39148	1.688038	-6.59523	-4.26682	-3.80377	-4.32251	-1.85454	-2.17477	-1.30339	-2.69986	-2.72301	-1.58565	-0.937822	-9.36929	-7.15514	-6.94628	-5.83738	-3.61895	-3.25405	-2.17514	-0.473705	-0.82919	-2.07689	-1.49406	8.53043e-05	0.000780842	0.000962209	0.00291648	0.0268107	0.0386173	0.113592	0.622691	0.436403	0.125319	0.22446	1.716047
250	-220.6128	-169.348	-51.26478	0.0153915	0.0375026	0.00932273	0.00248075	0.159869	0.168837	0.235596	0.00641325	0.169523	0.0415357	0.200396	2.704566	-4.17394	-3.28334	-4.6753	-5.99919	-1.8334	-1.77882	-1.44563	-5.04939	-1.77477	-3.1812	-1.60746	-8.15037	-7.50257	-6.73135	-5.13281	-3.52978	-4.95687	-2.31235	-0.31864	-1.15694	-2.76585	-1.68405	0.000288629	0.000551662	0.00119292	0.00589997	0.0293113	0.00703494	0.0990283	0.727138	0.314447	0.0629228	0.18562	1.518949
260	-216.1556	-172.3155	-43.84012	0.0588116	0.0148867	0.00733192	0.00329709	0.0635129	0.0352178	0.0590944	0.0357143	0.437331	0.416421	0.164312	1.206031	-2.83342	-4.20729	-4.91552	-5.71472	-2.75651	-3.3462	-2.82862	-3.3322	-0.827065	-0.876058	-1.80599	-7.05436	-6.52963	-6.84401	-5.79159	-4.54392	-5.60813	-3.01224	-0.822348	-0.624306	-1.72142	-0.949781	0.000863639	0.00145955	0.00106582	0.00305314	0.0106316	0.00366792	0.0491816	0.439399	0.535633	0.178811	0.386826	1.031244
270	-205.0976	-161.6338	-43.46377	0.0169775	0.00928547	0.00315647	0.0152286	0.0634111	0.0635072	0.280383	0.0696569	1.04567	1.21562	0.37185	0.9852859	-4.07586	-4.6793	-5.7583	-4.18458	-2.75812	-2.7566	-1.2716	-2.66417	0.0446575	0.195257	-0.989266	-6.52355	-5.78291	-6.47007	-6.51547	-3.83111	-3.95215	-2.52274	-0.610308	-0.074457	-0.530959	-0.33647	0.00146845	0.00307975	0.00154912	0.00148036	0.0216854	0.0192134	0.0802397	0.543183	0.928247	0.588041	0.714287	0.9427737
280	-205.1036	-164.0125	-41.09105	0.00816337	0.0123475	0.0229867	0.0424285	0.0678374	0.216794	0.321843	0.062378	1.50215	0.995517	0.332548	1.23506	-4.8081	-4.3943	-3.77284	-3.15994	-2.69064	-1.52881	-1.13369	-2.77454	0.406897	-0.00449347	-1.10097	-5.39668	-6.21193	-5.64261	-4.8857	-4.32039	-4.85413	-2.27214	-0.322126	0.246608	-0.762426	-0.503512	0.00453162	0.00200535	0.0035436	0.00755385	0.0132946	0.00779609	0.103091	0.724607	1.27968	0.466533	0.604404	1.109202
290	-206.0271	-158.5646	-47.46251	0.0376506	0.00946778	0.0165116	0.0270386	0.116812	0.178158	0.505263	0.422783	1.72381	1.16583	0.337945	0.8430322	-3.27941	-4.65986	-4.10369	-3.61049	-2.14719	-1.72508	-0.682677	-0.860896	0.544538	0.15343	-1.08487	-9.24751	-10.6674	-11.6515	-8.56057	-3.31554	-5.46988	-0.756988	-0.184885	0.539735	-0.729693	-0.336389	9.63513e-05	2.32924e-05	8.7063e-06	0.00019151	0.0363145	0.00421174	0.469077	0.8312	1.71555	0.482057	0.714345	2.239503
