Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
800	-211.7921	-169.64	-42.15212	0.0746979	0.0811992	0.0494024	0.18134	0.115251	0.189002	0.0826534	0.0220793	0.0175158	0.00592008	0.00574917
810	-205.24	-169.6554	-35.58463	0.0841068	0.0756548	0.0645803	0.124468	0.112496	0.157658	0.13374	0.0797841	0.0811781	0.0348574	0.0472435
820	-201.97	-169.0808	-32.88922	0.0314559	0.0395623	0.0440761	0.0615649	0.0300752	0.0341063	0.0257758	0.0229144	0.0351318	0.0283111	0.0336833
830	-196.6516	-168.5372	-28.11446	0.0631238	0.0846511	0.0817983	0.0771808	0.0621939	0.0588224	0.063692	0.0756525	0.0576396	0.052143	0.0363893
840	-196.9164	-165.7751	-31.14128	0.0655142	0.108772	0.111119	0.0777835	0.0881435	0.0576871	0.0538253	0.0427376	0.0671296	0.0498677	0.0446801
850	-197.082	-167.8309	-29.25107	0.0369546	0.0413983	0.0396686	0.0274649	0.0292281	0.0243968	0.0258656	0.0179374	0.0173074	0.0148306	0.0115258
860	-198.7689	-172.1282	-26.64065	0.153899	0.126273	0.104376	0.0620809	0.0519616	0.0518939	0.0447264	0.0477522	0.0579546	0.0383363	0.0342841
870	-204.6155	-168.9239	-35.6916	0.230916	0.107032	0.125257	0.0768615	0.19531	0.0910053	0.0504546	0.0344432	0.0720452	0.0501421	0.0455135
880	-213.548	-168.5076	-45.04048	0.265073	0.112523	0.100696	0.0192662	0.0405174	0.013205	0.0173716	0.0184849	0.0343995	0.26145	0.256321
890	-182.6322	-170.8154	-11.8168	0.0318752	0.0317984	0.0335669	0.0321882	0.0313912	0.0316958	0.0325872	0.0339569	0.0339769	0.0334171	0.0329612
900	-162.22	-176.1279	13.90789	0.00448997	0.00448307	0.00448362	0.00444046	0.00441645	0.00443808	0.00447749	0.00447703	0.00450019	0.00448999	0.00448658
910	-210.9022	-170.2537	-40.64847	0.000472365	0.000887043	0.000498091	0.00073293	0.000255546	0.00028669	0.000323677	0.000170317	0.000437917	0.000550928	0.000680831
920	-223.311	-172.0455	-51.26551	0.000247611	0.000136073	0.00341513	0.0321215	0.00799399	1.53511e-05	2.71266e-05	0.000271653	0.000123272	0.00172963	0.00140197
930	-189.3117	-170.802	-18.50976	0.00108137	0.000957098	0.000959286	0.00102276	0.00107429	0.00105127	0.00114746	0.00113069	0.00107641	0.000946304	0.00108573
940	-196.3105	-172.3646	-23.94595	0.000146217	0.00011867	0.000120773	0.000125165	0.000129168	0.000136126	0.000160826	0.000156159	0.000156694	0.00012921	0.000103563
950	-209.6999	-177.4375	-32.26241	0.0001561	0.000124721	6.32973e-05	5.75882e-05	0.000116124	0.000199779	8.2049e-05	8.14356e-05	7.75088e-05	9.52325e-05	0.000153215
960	-213.3764	-173.0473	-40.32912	0.00102127	0.000457324	0.000456731	0.000475618	0.000309324	0.000362513	0.000123922	9.98928e-05	4.30136e-05	6.55564e-05	7.09107e-05
970	-217.2712	-178.3477	-38.92345	0.00252437	0.00316294	0.00291628	0.0011611	0.000395274	0.000462213	0.000153819	0.000135841	6.41407e-05	6.97953e-05	3.48647e-05
980	-215.1445	-169.1741	-45.97033	0.0231744	0.140643	0.00434107	0.00177351	0.00101778	0.000327871	0.000481666	0.00137143	0.000509167	0.000179014	6.04861e-05
990	-215.422	-169.2061	-46.21588	0.0132511	0.302575	0.0567438	0.00500479	0.000719506	0.00148638	0.00169524	0.00491265	0.000863039	0.000652947	0.000563603
