Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
770	-161.2542	-170.8193	9.565155	0.000818155	9.73557e-05	0.00529491	0.0135632	0.0503266	0.00110262	0.0131987	0.329533	0.167157	0.000670621	0.0195736
780	-158.2548	-170.2446	11.9898	0.00136915	0.000114776	0.001396	0.00616878	0.0663247	0.0401057	0.0431935	0.303901	0.169193	0.0589006	0.0539826
790	-205.9422	-179.2123	-26.72995	0.00396494	0.00374893	0.00568542	0.0102852	0.0197389	0.0305605	0.114978	0.221481	0.0962341	0.152962	0.0516124
800	-211.7921	-169.64	-42.15212	0.00646615	0.00565507	0.00145288	0.00203159	0.0915354	0.0547889	0.344047	0.331678	0.448705	0.0296921	0.0171069
810	-205.24	-169.6554	-35.58463	7.02234e-05	0.000177528	0.000878476	0.00422715	0.189556	0.0104858	0.296971	0.485016	0.0948684	0.062716	0.111852
820	-201.97	-169.0808	-32.88922	0.000219553	0.000131615	0.000229402	0.000237124	0.0264157	0.0164043	0.0292184	0.388431	0.328545	0.0113522	0.0280163
830	-196.6516	-168.5372	-28.11446	9.79547e-05	0.00024919	0.00140322	0.0044915	0.0731017	0.0315316	0.101972	0.471317	0.126864	0.00832556	0.0189786
840	-196.9164	-165.7751	-31.14128	0.00080196	0.000559937	0.00353805	0.0155035	0.0975302	0.054637	0.12776	0.420894	0.307848	0.012724	0.0388168
850	-197.082	-167.8309	-29.25107	0.000127846	8.11544e-05	0.000980897	0.00572558	0.033327	0.0066895	0.0674771	0.291818	0.262033	0.00769338	0.00876417
860	-198.7689	-172.1282	-26.64065	0.0105969	0.00495009	0.0204232	0.0183047	0.191407	0.0694363	0.137236	0.310917	0.547539	0.0375376	0.0780057
870	-204.6155	-168.9239	-35.6916	0.00088708	0.000772717	0.00736189	0.00984451	0.164188	0.159254	0.137224	0.49938	0.222181	0.0292228	0.0528619
880	-213.548	-168.5076	-45.04048	0.000381621	0.00807059	0.00103297	0.00223175	0.19128	0.0352123	0.0834804	0.361937	0.320646	0.193731	0.257912
890	-182.6322	-170.8154	-11.8168	0.000506109	0.000201347	0.00033695	2.27388e-05	0.00754815	0.0102196	0.0966818	0.238563	0.329315	0.0141844	0.0579288
900	-162.22	-176.1279	13.90789	0.000517034	0.000786446	0.00261685	0.00151424	0.00496051	0.00373396	0.0322622	0.0855734	0.137891	0.0795441	0.0379792
910	-210.9022	-170.2537	-40.64847	0.000212393	0.000115995	0.00249204	0.000221262	0.0153782	0.00536041	0.0143041	0.119195	0.216608	0.0194104	0.00709628
920	-223.311	-172.0455	-51.26551	0.00135152	0.00242051	0.00101743	0.00292777	0.00665157	0.0034674	0.0140218	0.170677	0.271456	0.0277894	0.0145587
930	-189.3117	-170.802	-18.50976	0.000356308	0.000506476	0.00220926	0.000660536	0.011509	0.00170083	0.0100108	0.0901373	0.166223	0.0116471	0.0123199
940	-196.3105	-172.3646	-23.94595	0.000183662	0.0001431	0.000152512	0.000314004	0.0105487	0.00471139	0.0102574	0.0720099	0.129265	0.00626647	0.0242832
950	-209.6999	-177.4375	-32.26241	0.000452321	0.000192249	0.000594395	0.0032584	0.00103782	0.0028917	0.0126559	0.0899258	0.120309	0.0311855	0.028112
960	-213.3764	-173.0473	-40.32912	0.000312604	0.000441362	9.24558e-05	0.000215081	0.0101479	0.00300427	0.0186381	0.077122	0.1038	0.0202683	0.0049969
970	-217.2712	-178.3477	-38.92345	0.000177578	0.000716208	0.0129762	0.00204688	0.00498353	0.00158538	0.0130206	0.091765	0.0836707	0.0674667	0.00444672
980	-215.1445	-169.1741	-45.97033	0.000177191	0.00108749	0.00235811	0.00715316	0.044	0.0110897	0.0421827	0.218767	0.244624	0.0296343	0.0457331
